Model,Accuracy,Accuracy_Creditworthy,Accuracy_Non-Creditworthy,F1,AUC
Log_Reg_Stepwise,0.76,0.876190476190476,0.488888888888889,0.836363636363636,0.730582010582011
Boosted,0.793333333333333,0.961904761904762,0.4,0.866952789699571,0.747936507936508
Decision_Tree,0.746666666666667,0.866666666666667,0.466666666666667,0.827272727272727,0.705396825396825
Logistic_Regression,0.786666666666667,0.904761904761905,0.511111111111111,0.855855855855856,0.714708994708995
Forest,0.806666666666667,0.961904761904762,0.444444444444444,0.874458874458874,0.72994708994709
